"file","parser","ok","error","warnings","n_rows"
"FinalControlFile.lst","read_lst_file",TRUE,NA,NA,1162
"FinalControlFile.lst","thetas",TRUE,NA,NA,13
"FinalControlFile.lst","etas",TRUE,NA,NA,6
"FinalControlFile.lst","sigmas",TRUE,NA,NA,2
"FinalControlFile.lst","ofv",TRUE,NA,NA,NA
"FinalControlFile.lst","condn",TRUE,NA,NA,NA
"FinalResultFile.lst","read_lst_file",TRUE,NA,NA,607
"FinalResultFile.lst","thetas",TRUE,NA,NA,4
"FinalResultFile.lst","etas",TRUE,NA,NA,2
"FinalResultFile.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_10.lst","read_lst_file",TRUE,NA,NA,1164
"FinalResultFile_10.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_10.lst","etas",TRUE,NA,NA,6
"FinalResultFile_10.lst","sigmas",TRUE,NA,NA,3
"FinalResultFile_10.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_10.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1037.lst","read_lst_file",TRUE,NA,NA,582
"FinalResultFile_1037.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_1037.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1037.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1037.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1037.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_109.lst","read_lst_file",TRUE,NA,NA,621
"FinalResultFile_109.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_109.lst","etas",TRUE,NA,NA,2
"FinalResultFile_109.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_109.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_109.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_11.lst","read_lst_file",TRUE,NA,NA,1164
"FinalResultFile_11.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_11.lst","etas",TRUE,NA,NA,6
"FinalResultFile_11.lst","sigmas",TRUE,NA,NA,3
"FinalResultFile_11.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_11.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_114.lst","read_lst_file",TRUE,NA,NA,664
"FinalResultFile_114.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_114.lst","etas",TRUE,NA,NA,3
"FinalResultFile_114.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_114.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_114.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_119.lst","read_lst_file",TRUE,NA,NA,603
"FinalResultFile_119.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_119.lst","etas",TRUE,NA,NA,2
"FinalResultFile_119.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_119.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_119.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1198.lst","read_lst_file",TRUE,NA,NA,636
"FinalResultFile_1198.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_1198.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1198.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1198.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1198.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_12.lst","read_lst_file",TRUE,NA,NA,1162
"FinalResultFile_12.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_12.lst","etas",TRUE,NA,NA,6
"FinalResultFile_12.lst","sigmas",TRUE,NA,NA,3
"FinalResultFile_12.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_12.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_13.lst","read_lst_file",TRUE,NA,NA,1593
"FinalResultFile_13.lst","thetas",TRUE,NA,NA,10
"FinalResultFile_13.lst","etas",TRUE,NA,NA,8
"FinalResultFile_13.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_13.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_13.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1359.lst","read_lst_file",TRUE,NA,NA,585
"FinalResultFile_1359.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_1359.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1359.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1359.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1359.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_14.lst","read_lst_file",TRUE,NA,NA,1758
"FinalResultFile_14.lst","thetas",TRUE,NA,NA,8
"FinalResultFile_14.lst","etas",TRUE,NA,NA,9
"FinalResultFile_14.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_14.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_14.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_15.lst","read_lst_file",TRUE,NA,NA,1168
"FinalResultFile_15.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_15.lst","etas",TRUE,NA,NA,6
"FinalResultFile_15.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_15.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_15.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1520.lst","read_lst_file",TRUE,NA,NA,645
"FinalResultFile_1520.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_1520.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1520.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1520.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1520.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_16.lst","read_lst_file",TRUE,NA,NA,1054
"FinalResultFile_16.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_16.lst","etas",TRUE,NA,NA,6
"FinalResultFile_16.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_16.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_16.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1681.lst","read_lst_file",TRUE,NA,NA,635
"FinalResultFile_1681.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_1681.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1681.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1681.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1681.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_17.lst","read_lst_file",TRUE,NA,NA,1054
"FinalResultFile_17.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_17.lst","etas",TRUE,NA,NA,6
"FinalResultFile_17.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_17.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_17.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_18.lst","read_lst_file",TRUE,NA,NA,1051
"FinalResultFile_18.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_18.lst","etas",TRUE,NA,NA,6
"FinalResultFile_18.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_18.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_18.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_1842.lst","read_lst_file",TRUE,NA,NA,609
"FinalResultFile_1842.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_1842.lst","etas",TRUE,NA,NA,1
"FinalResultFile_1842.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_1842.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_1842.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_19.lst","read_lst_file",TRUE,NA,NA,1168
"FinalResultFile_19.lst","thetas",TRUE,NA,NA,7
